,rank,title,world_lifetime_gross,studio,domestic_opening_gross,budget,MPAA_rating,run_time,genre_list,lead_name,lead_height_m,lead_is_female,audience_score,tomatometer,international_movie,lead_age_years
500,501,Hook,300854823,TriStar Pictures,13522535.0,70000000.0,,142.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Dustin Hoffman,1.67,False,76.0,29.0,False,54.00685223210891
504,505,Resident Evil: Afterlife,300228084,Screen Gems,26650264.0,60000000.0,R,96.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",Milla Jovovich,1.74,True,48.0,21.0,False,34.97877595254392
505,506,Van Helsing,300157638,Universal Pictures,51748040.0,160000000.0,PG-13,131.0,"['Action', 'Adventure', 'Fantasy']",Hugh Jackman,1.88,False,57.0,24.0,False,35.98082553806373
506,507,Stuart Little,300135367,Sony Pictures Entertainment (SPE),15018223.0,133000000.0,PG,84.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Michael J. Fox,1.63,False,41.0,67.0,False,38.020545288615104
508,509,Alice Through the Looking Glass,299820798,Walt Disney Studios Motion Pictures,26858726.0,170000000.0,PG,113.0,"['Adventure', 'Family', 'Fantasy']",Mia Wasikowska,1.63,True,48.0,28.0,False,26.997937105483306
509,510,My Best Friend's Wedding,299288605,Sony Pictures Entertainment (SPE),21678377.0,38000000.0,PG-13,105.0,"['Comedy', 'Drama', 'Romance']",Julia Roberts,1.73,True,73.0,73.0,False,29.979458513955436
512,513,Ocean's Eight,297718711,Warner Bros.,41607378.0,70000000.0,PG-13,110.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Sandra Bullock,1.71,True,45.0,69.0,False,53.94934785915279
513,514,The Divergent Series: Insurgent,297002527,Lionsgate,52263680.0,110000000.0,PG-13,119.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Shailene Woodley,1.73,True,58.0,28.0,False,24.008198342079247
515,516,Austin Powers in Goldmember,296938801,New Line Cinema,73071188.0,63000000.0,PG-13,94.0,"['Action', 'Adventure', 'Comedy', 'Crime']",Mike Myers,1.7,False,44.0,53.0,False,39.003426116054456
516,517,Miss Peregrine's Home for Peculiar Children,296482446,Twentieth Century Fox,28871140.0,110000000.0,PG-13,127.0,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']",Eva Green,1.7,True,60.0,64.0,False,36.06023651988745
518,519,Ghostbusters,296187079,Columbia Pictures,13578151.0,30000000.0,,105.0,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",Bill Murray,1.85,False,88.0,97.0,False,33.963033310517915
519,520,Ferdinand,296069199,Twentieth Century Fox,13401586.0,111000000.0,PG,108.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",John Cena,1.84,False,51.0,72.0,False,39.97263670241083
522,523,Bee Movie,293514336,DreamWorks,38021044.0,150000000.0,PG,91.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Jerry Seinfeld,1.8,False,53.0,49.0,False,52.9226690242604
525,526,The Departed,291465373,Warner Bros.,26887467.0,90000000.0,R,151.0,"['Crime', 'Drama', 'Thriller']",Leonardo DiCaprio,1.83,False,94.0,90.0,False,31.983570993991943
526,527,What Lies Beneath,291420351,DreamWorks Distribution,29702959.0,100000000.0,PG-13,130.0,"['Drama', 'Horror', 'Mystery', 'Thriller']",Harrison Ford,1.85,False,58.0,47.0,False,58.02053388090349
528,529,Pacific Rim: Uprising,290930148,Universal Pictures,28116535.0,150000000.0,PG-13,111.0,"['Action', 'Adventure', 'Sci-Fi']",John Boyega,1.75,False,38.0,43.0,False,26.012320328542096
530,531,Sex and the City 2,290745055,Warner Bros.,31001870.0,100000000.0,R,146.0,"['Comedy', 'Drama', 'Romance']",Sarah Jessica Parker,1.6,True,43.0,16.0,False,45.00479504144802
531,532,Shakespeare in Love,289317794,Miramax,224012.0,25000000.0,R,123.0,"['Comedy', 'Drama', 'History', 'Romance']",Gwyneth Paltrow,1.75,True,80.0,92.0,False,25.957569016655256
532,533,Divergent,288885818,Lionsgate,54607747.0,85000000.0,PG-13,139.0,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",Shailene Woodley,1.73,True,69.0,41.0,False,23.014358506350295
534,535,Wedding Crashers,288467645,New Line Cinema,32200000.0,40000000.0,R,119.0,"['Comedy', 'Romance']",Owen Wilson,1.8,False,70.0,76.0,False,36.99109437980074
535,536,Bridesmaids,288383523,Universal Pictures,26247410.0,32500000.0,R,125.0,"['Comedy', 'Romance']",Kristen Wiig,1.65,True,76.0,90.0,False,37.971246862879305
536,537,Maze Runner: The Death Cure,288175335,Twentieth Century Fox,24167011.0,62000000.0,PG-13,,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Dylan O'Brien,1.78,False,58.0,43.0,False,26.976030496615714
538,539,American Pie 2,287553595,Universal Pictures,45117985.0,30000000.0,R,108.0,['Comedy'],Jason Biggs,1.75,False,68.0,52.0,False,22.995214464978325
539,540,Pitch Perfect 2,287144079,Universal Pictures,69216890.0,29000000.0,PG-13,115.0,"['Comedy', 'Music']",Anna Kendrick,1.57,True,64.0,65.0,False,29.993149669176365
540,541,The Green Mile,286801374,Warner Bros.,18017152.0,60000000.0,R,189.0,"['Crime', 'Drama', 'Fantasy', 'Mystery']",Tom Hanks,1.83,False,94.0,78.0,False,43.00343181991026
541,542,Oblivion,286168572,Universal Pictures,37054485.0,120000000.0,PG-13,124.0,"['Action', 'Adventure', 'Sci-Fi']",Tom Cruise,1.7,False,61.0,53.0,False,51.019843714350905
542,543,Elysium,286140700,TriStar Pictures,29807393.0,115000000.0,R,109.0,"['Action', 'Drama', 'Sci-Fi']",Matt Damon,1.78,False,58.0,65.0,False,43.00068066012624
543,544,Lethal Weapon 4,285444603,Warner Bros.,34048124.0,140000000.0,R,127.0,"['Action', 'Crime', 'Thriller']",Mel Gibson,1.77,True,64.0,53.0,False,42.020545288615104
544,545,John Carter,284139100,Walt Disney Studios Motion Pictures,30180188.0,250000000.0,PG-13,132.0,"['Action', 'Adventure', 'Sci-Fi']",Taylor Kitsch,1.81,False,60.0,52.0,False,30.995206859837253
545,546,Turbo,282570682,Twentieth Century Fox,21312625.0,135000000.0,PG,96.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi', 'Sport']",Ryan Reynolds,1.88,True,65.0,67.0,False,36.966455624001824
546,547,Paddington,282377683,Other,18966676.0,55000000.0,PG,95.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Hugh Bonneville,1.87,False,80.0,97.0,False,51.04722792607803
